bug_id,"short_desc","bug_status","keywords","product","component","version","op_sys","target_milestone","qa_contact","short_short_desc","assigned_to","reporter"
88837,"need a new owner for viewer","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","need a new owner for viewer","asa","asa"
108718,"give Webtools Attachment management needswork and hasreview","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","give Webtools Attachment management needswork and hasreview","asa","timeless"
121403,"clean up keyword descriptions - mozilla*.*.*","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Other","---","timeless","clean up keyword descriptions - mozilla*.*.*","asa","timeless"
122431,"topembed expansion to include '-' and '+'","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows 2000","---","timeless","topembed expansion to include '-' and '+'","asa","jud"
122637,"change owner for HTMLFrames to jkeiser@netscape.com","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows 2000","---","timeless","change owner for HTMLFrames to jkeiser@netscape.com","asa","kmcclusk"
124574,"please add CTL in BugZilla's Browser-Component list","RESOLVED","intl","bugzilla.mozilla.org","Administration","other","All","---","timeless","please add CTL in BugZilla's Browser-Component list","asa","arthit.suriyawongkul"
125402,"Update Product: Browser's Component: Preferences description","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows 2000","---","timeless","Update Product: Browser's Component: Preferences description","asa","samir_bugzilla"
128615,"Add ""bugzilla.org"" component to Bugzilla product","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","Add ""bugzilla.org"" component to Bugzilla product","asa","justdave"
129796,"Need to create Evangelism: China","RESOLVED",,"bugzilla.mozilla.org","Administration","other","Windows 2000","---","timeless","Need to create Evangelism: China","asa","momoi"
132941,"change default themes owner to shliang@netscape.com","RESOLVED",,"bugzilla.mozilla.org","Administration","other","All","---","timeless","change default themes owner to shliang@netscape.com","asa","hewitt"
