bug_id,short_short_desc,bug_status,keywords,product,component,version,op_sys,target_milestone,qa_contact,short_desc,assigned_to,reporter
451918,Remove |APP_XPCOM_LIBS| from /browser/,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 6,build.config,Remove |APP_XPCOM_LIBS| from /browser/,arpad.borsos,sgautherie.bz
252063,Linux Firefox Installer fails to launch,VERIFIED,smoketest,Firefox,Build Config,1.0 Branch,Linux,---,asa,[Linux Firefox Installer fails to launch],benjamin,bryner
510497,change default branding in mozilla-1.9.2 to Namoroka,VERIFIED,verified1.9.2,Firefox,Build Config,3.6 Branch,All,Firefox 3.6a1,build.config,change default branding in mozilla-1.9.2 to Namoroka,bhearsum,bhearsum
664723,update removed-files.in for bug 643816,VERIFIED,,Firefox,Build Config,Trunk,All,Firefox 7,build.config,update removed-files.in for bug 643816,bhearsum,bhearsum
172300,Phoenix doesn't build with jprof enabled,VERIFIED,,Firefox,Build Config,unspecified,Linux,Phoenix0.3,asa,Phoenix doesn't build with jprof enabled,bryner,bbaetz
172580,Changes to get OS/2 building/working,VERIFIED,,Firefox,Build Config,unspecified,OS/2,Phoenix0.3,asa,Changes to get OS/2 building/working,bryner,mozilla
172706,Mozilla Firebird should not try to use $MOZILLA_FIVE_HOME,VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,Mozilla Firebird should not try to use $MOZILLA_FIVE_HOME,bryner,neil
173789,preprocessor doesn't work,VERIFIED,,Firefox,Build Config,unspecified,All,Phoenix0.3,asa,preprocessor doesn't work,bryner,bryner
177610,Phoenix does not build under BeOS,VERIFIED,,Firefox,Build Config,unspecified,BeOS,---,asa,Phoenix does not build under BeOS,bryner,beos
177722,Need OS/2 RC file,VERIFIED,,Firefox,Build Config,unspecified,OS/2,---,asa,Need OS/2 RC file,bryner,mozilla
177977,Long DLL name keeps various things from working on OS/2,VERIFIED,,Firefox,Build Config,unspecified,OS/2,---,asa,Long DLL name keeps various things from working on OS/2,bryner,mozilla
187485,Phoenix build broken on OS/2,VERIFIED,,Firefox,Build Config,unspecified,OS/2,---,asa,Phoenix build broken on OS/2,bryner,jhpedemonte
187755,StaticBuild build failure due missing symbol in nsNodeInfo.o,VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,StaticBuild build failure due missing symbol in nsNodeInfo.o,bryner,roland.mainz
188020,fork the bookmark service,VERIFIED,,Firefox,Build Config,unspecified,All,---,,fork the bookmark service,bryner,p_ch
188090,"Build failure in toolkit/components/build due missing ""gkgfx""",VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,"Build failure in toolkit/components/build due missing ""gkgfx""",bryner,roland.mainz
189558,Phoenix build failure on linux,VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,Phoenix build failure on linux,bryner,p_ch
196080,gtk_init undefined when building Phoenix with gtk2,VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,gtk_init undefined when building Phoenix with gtk2,bryner,am2stewa
196791,gtk2 build fails when linking phoenix-bin (NS_CreateNativeAppSupport undefined),VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,gtk2 build fails when linking phoenix-bin (NS_CreateNativeAppSupport undefined),bryner,am2stewa
205647,long .exe filename breaks Default Browser integration when using some network mapped drives,VERIFIED,conversion,Firefox,Build Config,unspecified,Windows NT,Firefox1.0,mconnor,long .exe filename breaks Default Browser integration when using some network mapped drives,bryner,djst
205974,"[Mac] Missing PrintPDE.plugin: can't print background colors, selection or frames",VERIFIED,"fixed-aviary1.0, polish, pp",Firefox,Build Config,1.0 Branch,Mac OS X,---,asa,[Mac] Missing PrintPDE.plugin: can't print background colors selection or frames,bryner,harunaga
209104,Unix/Linux StaticBuilds are broken,VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,Unix/Linux StaticBuilds are broken,bryner,roland.mainz
212509,nsToolkitCompsCID.h: No such file or directory (and numerous firebird build failures),VERIFIED,,Firefox,Build Config,unspecified,Linux,---,asa,nsToolkitCompsCID.h: No such file or directory (and numerous firebird build failures),bryner,levon
214719,mac icon needs updating,VERIFIED,,Firefox,Build Config,unspecified,Mac OS X,---,asa,mac icon needs updating,bryner,louie
216025,preprocessor.pl doesn't track current directory correctly,VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,preprocessor.pl doesn't track current directory correctly,bryner,bryner
217529,The Mozilla Firebird User-Agent String is Non-Compliant,VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,The Mozilla Firebird User-Agent String is Non-Compliant,bryner,mozilla
218248,nsSingleSignonPrompt.h has CR/LF line terminations and it should not,VERIFIED,,Firefox,Build Config,unspecified,All,---,asa,nsSingleSignonPrompt.h has CR/LF line terminations and it should not,bryner,lidl
219505,Change MOZ_PHOENIX to MOZ_XUL_APP in themes,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,,Change MOZ_PHOENIX to MOZ_XUL_APP in themes,bryner,stdowa+bugzilla
220433,Can't build with Binutils Candidate,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,asa,Can't build with Binutils Candidate,bryner,nilson
221217,gtk2+xft builds since 1st Oct don't work,VERIFIED,regression,Firefox,Build Config,unspecified,Linux,---,mconnor,gtk2+xft builds since 1st Oct don't work,bryner,b3nton
227353,GCC/Win32 build process bails on browser/app/module.rc:147 FILEVERSION,VERIFIED,,Firefox,Build Config,unspecified,Windows XP,---,asa,GCC/Win32 build process bails on browser/app/module.rc:147 FILEVERSION,bryner,fredbezies
232427,Compile error in nsPasswordManager.cpp building Firebird 0.7 on Solaris 8.,VERIFIED,,Firefox,Build Config,unspecified,Solaris,---,asa,Compile error in nsPasswordManager.cpp building Firebird 0.7 on Solaris 8.,bryner,jimlane
